,census_tract,count
1052,36047114201.0,72
1053,36047114202.0,426
1054,36047114400.0,162
1055,36047114600.0,686
1056,36047115000.0,485
1057,36047115200.0,656
1058,36047115600.0,1605
1059,36047115800.0,428
1060,36047116000.0,338
1061,36047116200.0,218
1062,36047116400.0,293
1063,36047116600.0,316
1064,36047116800.0,226
1065,36047117000.0,312
1066,36047117201.0,657
1067,36047117202.0,558
1068,36047117400.0,598
1069,36047117601.0,349
1070,36047117602.0,993
1071,36047117800.0,183
1072,36047118000.0,30
1073,36047118201.0,287
1074,36047118202.0,846
1075,36047118400.0,555
1076,36047118600.0,347
1077,36047118800.0,677
1078,36047119000.0,807
1079,36047119200.0,475
1080,36047119400.0,746
1081,36047119600.0,651
1082,36047119800.0,394
1083,36047120000.0,354
1084,36047120200.0,275
1085,36047120800.0,658
1086,36047121000.0,707
1087,36047121400.0,1261
1088,36047122000.0,606
1089,36047123700.0,131
1090,36047150200.0,127
1091,36047152200.0,168
1092,36061000201.0,363
1093,36061000202.0,464
1094,36061000500.0,3
1095,36061000600.0,256
1096,36061000700.0,364
1097,36061000800.0,190
1098,36061000900.0,160
1099,36061001001.0,290
1100,36061001002.0,735
1101,36061001200.0,1276
1102,36061001300.0,582
1103,36061001401.0,1015
1104,36061001402.0,622
1105,36061001501.0,336
1106,36061001502.0,23
1107,36061001600.0,626
1108,36061001800.0,1092
1109,36061002000.0,451
1110,36061002100.0,524
1111,36061002201.0,1825
1112,36061002202.0,810
1113,36061002400.0,870
1114,36061002500.0,627
1115,36061002601.0,1216
1116,36061002602.0,2183
1117,36061002700.0,1432
1118,36061002800.0,1235
1119,36061002900.0,117
1120,36061003001.0,1440
1121,36061003002.0,1220
1122,36061003100.0,229
1123,36061003200.0,1556
1124,36061003300.0,327
1125,36061003400.0,1892
1126,36061003601.0,734
1127,36061003602.0,738
1128,36061003700.0,162
1129,36061003800.0,1616
1130,36061003900.0,114
1131,36061004000.0,1740
1132,36061004100.0,640
1133,36061004200.0,614
1134,36061004300.0,818
1135,36061004400.0,28
1136,36061004500.0,298
1137,36061004700.0,591
1138,36061004800.0,614
1139,36061004900.0,654
1140,36061005000.0,406
1141,36061005200.0,207
1142,36061005400.0,301
1143,36061005501.0,167
1144,36061005502.0,269
1145,36061005600.0,310
1146,36061005700.0,158
1147,36061005800.0,242
1148,36061005900.0,266
1149,36061006000.0,254
1150,36061006100.0,317
1151,36061006200.0,12
1152,36061006300.0,390
1153,36061006400.0,1390
1154,36061006500.0,761
1155,36061006600.0,1251
1156,36061006700.0,870
1157,36061006800.0,1231
1158,36061006900.0,6
1159,36061007000.0,688
1160,36061007100.0,453
1161,36061007200.0,614
1162,36061007300.0,939
1163,36061007400.0,263
1164,36061007500.0,1090
1165,36061007600.0,203
1166,36061007700.0,668
1167,36061007800.0,671
1168,36061007900.0,200
1169,36061008000.0,316
1170,36061008100.0,908
1171,36061008200.0,100
1172,36061008300.0,685
1173,36061008400.0,151
1174,36061008601.0,11
1175,36061008602.0,9
1176,36061008603.0,73
1177,36061008700.0,614
1178,36061008800.0,206
1179,36061008900.0,902
1180,36061009000.0,310
1181,36061009100.0,554
1182,36061009200.0,90
1183,36061009300.0,934
1184,36061009400.0,24
1185,36061009500.0,251
1186,36061009600.0,26
1187,36061009700.0,426
1188,36061009800.0,782
1189,36061009900.0,65
1190,36061010000.0,42
1191,36061010100.0,26
1192,36061010200.0,8
1193,36061010300.0,2008
1194,36061010400.0,51
1195,36061010601.0,93
1196,36061010602.0,67
1197,36061010800.0,313
1198,36061010900.0,20
1199,36061011000.0,373
1200,36061011100.0,639
1201,36061011201.0,91
1202,36061011202.0,17
1203,36061011203.0,76
1204,36061011300.0,8
1205,36061011401.0,70
1206,36061011402.0,116
1207,36061011500.0,339
1208,36061011600.0,46
1209,36061011700.0,76
1210,36061011800.0,326
1211,36061011900.0,420
1212,36061012000.0,74
1213,36061012100.0,1024
1214,36061012200.0,146
1215,36061012400.0,380
1216,36061012500.0,132
1217,36061012600.0,532
1218,36061012700.0,1261
1219,36061012800.0,183
1220,36061012900.0,76
1221,36061013000.0,127
1222,36061013100.0,100
1223,36061013200.0,539
1224,36061013300.0,815
1225,36061013400.0,919
1226,36061013500.0,127
1227,36061013600.0,1201
1228,36061013700.0,138
